"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1QC",11.829494690158,-4.414964309782,0.894431027966836,-4.93605898245482,7.9717007658796e-07,0.0113588764213018
"MT1E",4.63635566597595,-3.64474845265981,0.859734316816591,-4.23938928732719,2.24128696682077e-05,0.0798402449755728
"GPRIN1",10.2381380777959,-2.16866737715613,0.568390058651929,-3.81545620678102,0.000135931563162142,0.195677561350856
"FBXO6",118.630508454857,-1.06894378988753,0.264203497875837,-4.04591081678215,5.21200742771811e-05,0.100206310061056
"VAMP5",123.069579283213,-0.830104125842822,0.219064113490109,-3.78932045334893,0.000151059946302156,0.195677561350856
"HIST1H2BC",82.9297872364118,-0.798488001319855,0.197683373547751,-4.03922690608565,5.36276671203046e-05,0.100206310061056
"CXorf21",118.981419862232,-0.713380610608972,0.176025376540033,-4.05271458372214,5.06267519730918e-05,0.100206310061056
"CASP1",705.184572058597,-0.624491291165244,0.139698364639735,-4.47028347665867,7.81159912008114e-06,0.0556537379310181
"SYTL1",635.423927438902,0.376704450612856,0.0935221203139279,4.02797166433313,5.62601221481121e-05,0.100206310061056
"NPIPB5",114.19272597927,0.662127487750347,0.155750716696096,4.25120026280396,2.12627934381014e-05,0.0798402449755728
"NRCAM",7.59463552825377,2.40313363524091,0.632113929200931,3.80174130679064,0.000143682706486857,0.195677561350856
