AIHpartial.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSG00000188976,265.946627,-0.003686976,0.11079668,-0.033276949,0.973453735,0.996649069
2,ENSG00000187961,50.69893807,-0.115776868,0.234387018,-0.493955974,0.621337273,0.943405022
3,ENSG00000187583,9.978808134,-0.147461463,0.473761723,-0.3112566,0.755605558,0.962453869
4,ENSG00000188290,34.21515038,0.109665088,0.405476791,0.270459592,0.7868067,0.969017366
5,ENSG00000187608,359.4418204,0.677351053,0.388554294,1.743259727,0.081288257,0.772826087
6,ENSG00000188157,91.72608623,-0.117502677,0.293462811,-0.400400572,0.688861503,0.955522815
7,ENSG00000131591,80.69400206,-0.190612768,0.177786857,-1.072142066,0.283656227,0.872573367
8,ENSG00000186891,23.71229253,0.032711176,0.3482216,0.093937814,0.925158555,0.990713952
9,ENSG00000186827,34.16276074,0.314186075,0.257959926,1.217964669,0.223237399,0.847771939
10,ENSG00000078808,844.5935914,-0.024164114,0.067150622,-0.359849444,0.718959725,0.958841729
11,ENSG00000176022,194.0256002,-0.005159221,0.119504619,-0.04317173,0.96556464,0.994958794
12,ENSG00000184163,8.113694905,-0.945189192,0.560894275,-1.685146799,0.091960252,0.787611136
13,ENSG00000160087,542.8232838,-0.022408125,0.089552614,-0.250223011,0.802414891,0.972970079
14,ENSG00000162572,17.36944649,-0.537126462,0.382194383,-1.405375081,0.159909773,0.827913101
15,ENSG00000131584,391.6509167,-0.21052904,0.1055382,-1.994813638,0.046063209,0.724171755
16,ENSG00000169972,36.48482017,-0.075582859,0.241105238,-0.313484931,0.753912268,0.962453869
17,ENSG00000127054,457.6333174,-0.151228425,0.088040037,-1.717723318,0.085847094,0.783461598
18,ENSG00000224051,195.9001713,-0.170667005,0.12415979,-1.374575497,0.169263089,0.830103193
19,ENSG00000169962,30.84594943,-0.468371774,0.244626679,-1.914638972,0.055538561,0.737738817
20,ENSG00000107404,190.1977287,-0.287307456,0.133394184,-2.153822951,0.031254059,0.682678398
21,ENSG00000162576,55.73319962,-0.186694658,0.214263227,-0.871333177,0.383572261,0.896737428
22,ENSG00000175756,282.2051231,-0.026606837,0.124707194,-0.213354472,0.831050489,0.979103671
23,ENSG00000221978,727.8418352,-0.18521776,0.082940834,-2.23313115,0.025540297,0.672325093
24,ENSG00000242485,170.164642,-0.176743435,0.111858527,-1.580062242,0.114092613,0.797162813
25,ENSG00000160072,176.5414845,-0.335953349,0.14942708,-2.248276217,0.024558582,0.662575696
26,ENSG00000197785,77.2853678,-0.105572648,0.182137604,-0.579631257,0.56216331,0.929711226
27,ENSG00000160075,857.7665261,-0.013113269,0.076746955,-0.170863709,0.864330933,0.983212537
28,ENSG00000228594,28.61412903,0.047732922,0.308231705,0.15486052,0.876931279,0.984522503
29,ENSG00000197530,609.9447017,-0.338772747,0.126289103,-2.682517648,0.00730703,0.592587499
30,ENSG00000189409,9.282347409,-0.576192272,0.591348344,-0.974370313,0.329872704,0.882705553
31,ENSG00000248333,312.1584962,0.017786349,0.102761669,0.173083495,0.862585799,0.983212537
32,ENSG00000189339,882.2683335,-0.108070465,0.088305695,-1.223822144,0.221019329,0.847347694
33,ENSG00000008128,20.39831751,-0.154665952,0.308955196,-0.500609648,0.616645871,0.943067056
34,ENSG00000215790,141.4840413,0.000608676,0.148032323,0.00411178,0.996719283,0.999023922
35,ENSG00000008130,3417.604839,0.147765074,0.14870341,0.993689885,0.320373869,0.880844444
36,ENSG00000078369,2373.914031,0.060453674,0.094275356,0.64124578,0.52136301,0.922359622
37,ENSG00000067606,175.3067983,-0.307762032,0.143085858,-2.15089064,0.031484833,0.684112169
38,ENSG00000162585,191.2442771,-0.119957755,0.120090228,-0.998896889,0.317844644,0.880257254
39,ENSG00000157933,1314.661924,0.014730379,0.111920898,0.131614196,0.895289456,0.986882457
40,ENSG00000116151,105.3367521,-0.116608083,0.16844897,-0.692245744,0.488783016,0.916228371
41,ENSG00000157916,527.9687711,-0.088785936,0.072380013,-1.226663732,0.219949004,0.847347694
42,ENSG00000157911,54.47267393,-0.253323042,0.209985829,-1.206381607,0.227670385,0.850788273
43,ENSG00000149527,200.2536964,-0.410611288,0.160814567,-2.553321485,0.010670096,0.619397951
44,ENSG00000157881,445.5060728,-0.200718009,0.087377002,-2.297149181,0.021610261,0.65358885
45,ENSG00000157873,800.0703416,-0.146438325,0.099009614,-1.479031367,0.139131932,0.813955115
46,ENSG00000157870,83.02109673,-0.327633245,0.152104808,-2.153996637,0.031240436,0.682678398
47,ENSG00000215912,93.22040777,-0.356135461,0.163523875,-2.177880517,0.029414933,0.678784767
48,ENSG00000162591,640.1877813,-0.34198979,0.134139436,-2.549509668,0.010787452,0.619397951
49,ENSG00000158109,440.5922605,-0.036667424,0.133880108,-0.273882537,0.784174892,0.9683546
50,ENSG00000116213,202.7259244,-0.015905523,0.11277362,-0.141039394,0.887838821,0.986509213
51,ENSG00000078900,17.50097313,0.001653661,0.353305161,0.004680546,0.996265478,0.998864606
52,ENSG00000235169,193.3339474,-0.306926868,0.490574001,-0.625648459,0.531545547,0.923221511
53,ENSG00000130764,280.0641323,-0.072314554,0.117733521,-0.614222303,0.539068437,0.924524285
54,ENSG00000116198,282.0074906,-0.135664097,0.106986755,-1.268045721,0.204781623,0.843475707
55,ENSG00000169598,118.7634056,-0.196095537,0.147401309,-1.330351395,0.183402521,0.83857199
56,ENSG00000198912,142.0639234,-0.127265423,0.137614465,-0.924796848,0.35507159,0.888573125
57,ENSG00000196581,15.9035295,-1.017151362,0.562798329,-1.807310558,0.070713871,0.758263742
58,ENSG00000131697,140.3024552,0.016409528,0.137107123,0.119683993,0.904733481,0.988127492
59,ENSG00000069424,1945.138088,0.058426821,0.060590544,0.964289421,0.334900843,0.883820304
60,ENSG00000116254,7.855642161,-1.984502894,0.697460064,-2.845328353,0.004436566,0.592587499
61,ENSG00000116251,518.4687273,0.25868243,0.140669283,1.838940416,0.06592395,0.752025506
62,ENSG00000158286,20.65588289,0.373816269,0.353274628,1.058146382,0.289988711,0.873146868
63,ENSG00000116237,151.9150512,-0.049669496,0.143938607,-0.345074177,0.730038606,0.960791773
64,ENSG00000158292,28.70128249,-0.789346585,0.326150152,-2.420193827,0.015512236,0.633887767
65,ENSG00000097021,37.68929524,-0.16438938,0.198061783,-0.829990406,0.406544208,0.900630133
66,ENSG00000187017,363.0602072,-0.410299361,0.439070102,-0.934473467,0.350059717,0.887532381
67,ENSG00000215788,183.8734649,-0.219035442,0.21433864,-1.021912994,0.306822082,0.875558811
68,ENSG00000171680,27.39193679,-0.174032821,0.339638681,-0.512405772,0.608367052,0.942281748
69,ENSG00000162408,292.908416,-0.069841522,0.116248286,-0.600796144,0.547975773,0.926919638
70,ENSG00000204859,425.0903111,0.157650462,0.108130812,1.457960596,0.144851404,0.818718479
71,ENSG00000162413,1605.598833,0.114390007,0.124978564,0.915277016,0.360046222,0.889720693
72,ENSG00000116273,92.91128233,0.005189339,0.164694193,0.031508938,0.974863664,0.997122042
73,ENSG00000041988,69.89422608,0.232521544,0.192034754,1.210830535,0.22596036,0.849537131
74,ENSG00000007923,134.138936,0.162961826,0.139577621,1.167535487,0.242994186,0.858205241
75,ENSG00000171735,81.43507576,-0.177407769,0.166748535,-1.063924005,0.287363128,0.873146868
76,ENSG00000049245,365.0862392,0.15574623,0.109883052,1.417381725,0.156371353,0.82377338
77,ENSG00000049246,40.53765698,0.407968256,0.255819834,1.594748339,0.110768524,0.797162813
78,ENSG00000049249,81.22145756,0.014310721,0.252067614,0.056773343,0.954725749,0.993960896
79,ENSG00000116288,265.7000966,0.157038078,0.102078947,1.538398301,0.123951257,0.804663303
80,ENSG00000116285,9.25202931,-0.699905236,0.506026071,-1.383140662,0.16662174,0.828843369
81,ENSG00000162426,7.281512011,-0.773781555,0.563633574,-1.372845038,0.169800526,0.830103193
82,ENSG00000142599,2108.347449,-0.051067716,0.110711362,-0.46126897,0.644605645,0.945420608
83,ENSG00000074800,2141.558569,0.119657937,0.110043953,1.087364947,0.276875556,0.870265663
84,ENSG00000131686,73.41714664,0.062040416,0.319924015,0.193922348,0.846236685,0.981147635
85,ENSG00000142583,28.45497257,0.145477148,0.403071851,0.360921129,0.718158408,0.958841729
86,ENSG00000180758,76.82027096,-0.232105816,0.218858622,-1.060528542,0.288904212,0.873146868
87,ENSG00000049239,783.5349797,-0.061359694,0.106927544,-0.573843668,0.566073595,0.930507275
88,ENSG00000171621,25.70958909,0.185004866,0.29409791,0.629058759,0.529310589,0.923221511
89,ENSG00000171612,32.97812144,0.184399796,0.301343974,0.611924618,0.540587633,0.92513532
90,ENSG00000188807,67.88137858,-0.018142798,0.195846006,-0.09263808,0.92619109,0.990790912
91,ENSG00000171608,4464.483601,-0.043356794,0.110709715,-0.391625918,0.695334635,0.957108014
92,ENSG00000171603,629.0210586,-0.126132958,0.11619994,-1.085482133,0.277708173,0.871379758
93,ENSG00000178585,71.42947525,-0.242378376,0.161079537,-1.504712392,0.132398036,0.809497416
94,ENSG00000162441,97.7618293,0.031841664,0.141067659,0.225719093,0.821419907,0.977061148
95,ENSG00000173614,72.81820974,0.375724714,0.18604441,2.019543156,0.043430797,0.718175155
96,ENSG00000162444,36.82370382,0.242625766,0.279520535,0.868006944,0.385390531,0.896737428
97,ENSG00000130939,714.2271475,0.037923426,0.092048445,0.411994203,0.680343672,0.95375359
98,ENSG00000054523,746.3754591,0.073632075,0.152545319,0.482689836,0.629315981,0.944676961
99,ENSG00000142657,1633.982467,0.308599111,0.175179804,1.761613524,0.078134617,0.767524114
100,ENSG00000160049,120.7523268,-0.021849836,0.165342955,-0.132148575,0.894866775,0.986882457
101,ENSG00000142655,115.0814502,0.020828375,0.165122841,0.126138665,0.899622162,0.987201016
102,ENSG00000130940,125.2152461,-0.156639892,0.141405062,-1.107738925,0.267974583,0.864019788
103,ENSG00000120948,202.1561392,-0.068372824,0.106643646,-0.641133595,0.521435889,0.922359622
104,ENSG00000009724,46.35700418,-0.271595376,0.242400658,-1.120439929,0.262526338,0.860926395
105,ENSG00000116649,124.4091471,-0.262649122,0.158144739,-1.660814791,0.09675065,0.797139933
106,ENSG00000171824,173.9007043,-0.12990017,0.13287967,-0.977577457,0.328283351,0.882705553
107,ENSG00000198793,624.5573474,-0.072931617,0.077571445,-0.940186403,0.347121955,0.886540637
108,ENSG00000171819,35.24913028,-0.312824301,0.232465684,-1.345679481,0.178405907,0.836974018
109,ENSG00000120942,176.7886804,-0.045200141,0.155677289,-0.290345122,0.771552222,0.965691433
110,ENSG00000204624,8.027751634,-0.325268694,0.742076961,-0.438322049,0.661152845,0.950424919
111,ENSG00000116661,16.89601109,-0.519013124,0.397829532,-1.304611858,0.192025048,0.841902969
112,ENSG00000132879,79.2920745,-0.285664574,0.181003686,-1.57822517,0.11451389,0.797162813
113,ENSG00000116663,119.6888519,0.206622403,0.182743813,1.13066702,0.258195267,0.860385029
114,ENSG00000116670,90.74480964,0.051517211,0.176319867,0.292180412,0.770148687,0.964961852
115,ENSG00000162490,25.27694696,-0.403777487,0.313329925,-1.288665571,0.197514377,0.843475707
116,ENSG00000177674,849.452504,0.120281793,0.12549873,0.958430359,0.337845793,0.883820304
117,ENSG00000177000,413.473855,-0.189892303,0.09392866,-2.0216652,0.043210951,0.718175155
118,ENSG00000011021,186.671451,-0.135781801,0.131395187,-1.033384887,0.301423816,0.87468991
119,ENSG00000116685,784.6004564,0.133260697,0.118212365,1.127299131,0.25961603,0.860385029
120,ENSG00000083444,310.6969903,0.146829816,0.155332534,0.945261189,0.344525547,0.885456755
121,ENSG00000116688,962.8605027,0.116975681,0.172734645,0.67719872,0.49827988,0.917821756
122,ENSG00000116691,287.8364008,0.135266017,0.153697488,0.880079558,0.378816212,0.896318615
123,ENSG00000120949,126.5902566,0.17760092,0.189335443,0.938022575,0.348232809,0.886614718
124,ENSG00000028137,5259.686182,0.195363497,0.114338993,1.708634054,0.087518757,0.783461598
125,ENSG00000048707,1403.487515,-0.091939889,0.061788262,-1.487983086,0.136755354,0.813955115
126,ENSG00000162496,153.6787898,-0.266444671,0.179973432,-1.480466684,0.138748745,0.813955115
127,ENSG00000116731,1330.839159,0.041188381,0.058998268,0.698128658,0.485096737,0.916111586
128,ENSG00000189337,82.45841369,0.199763635,0.34095074,0.58590175,0.557941541,0.928311964
129,ENSG00000171729,11.72243136,-0.324427022,0.496923113,-0.65287167,0.513839014,0.922359622
130,ENSG00000142621,19.86687041,-0.567760678,0.508284158,-1.117014309,0.263988207,0.860926395
131,ENSG00000142634,3996.421927,0.056959886,0.119412977,0.476999132,0.63336274,0.944833957
132,ENSG00000215704,9.118304555,-0.783659256,0.516244458,-1.518000326,0.129014317,0.805364634
133,ENSG00000132906,122.1289969,-0.179406824,0.142531775,-1.258714584,0.208133442,0.844313052
134,ENSG00000116138,184.9944586,0.103994381,0.123192082,0.844164487,0.398577496,0.898675787
135,ENSG00000116771,34.12225291,-0.269834835,0.282498285,-0.955173356,0.339490038,0.883820304
136,ENSG00000197312,364.4072445,0.096220062,0.101284026,0.950002348,0.342111059,0.883820304
137,ENSG00000116786,496.1302266,0.0688586,0.084000377,0.819741565,0.412363449,0.901152571
138,ENSG00000162461,10.27081866,-0.58128593,0.565530731,-1.027859138,0.304016093,0.874861124
139,ENSG00000233954,9.495512615,-0.312651663,0.452143953,-0.691486993,0.489259552,0.916228371
140,ENSG00000065526,1766.589162,-0.047700493,0.072053064,-0.662018934,0.507959088,0.922359622
141,ENSG00000116809,313.9939209,-0.191782711,0.109776665,-1.747026212,0.080632791,0.772826087
142,ENSG00000142627,10.74695164,-1.688723386,0.640776356,-2.635433361,0.008402992,0.592587499
143,ENSG00000142632,31.50688193,-0.23633614,0.270311218,-0.874311254,0.381948772,0.896737428
144,ENSG00000132881,29.16470438,-0.122435473,0.256402219,-0.477513314,0.632996642,0.944833957
145,ENSG00000037637,330.3699371,0.071745382,0.088301848,0.812501482,0.416503936,0.902042725
146,ENSG00000055070,457.2413118,0.036381913,0.080980636,0.449266823,0.653239188,0.948678544
147,ENSG00000187144,30.91456577,0.018572363,0.248317421,0.07479283,0.940379547,0.992241856
148,ENSG00000157191,723.3563999,0.012092192,0.087804119,0.137717819,0.890463436,0.986600461
149,ENSG00000219481,158.7051975,-0.120093784,0.183301623,-0.655170325,0.512358098,0.922359622
150,ENSG00000058453,320.1003593,-0.250168704,0.166188919,-1.505327224,0.132239969,0.809497416
151,ENSG00000159363,261.7155473,0.061847571,0.108931815,0.567764078,0.570195175,0.931992447
152,ENSG00000117118,185.0871092,0.112338134,0.104160513,1.078509803,0.280806309,0.872479342
153,ENSG00000117115,1838.444308,0.338816134,0.270051413,1.254635663,0.209611051,0.844947233
154,ENSG00000159339,835.8619964,0.28486121,0.238256434,1.19560763,0.231849713,0.852012614
155,ENSG00000179051,479.5463853,-0.047792974,0.104264797,-0.458380731,0.646678933,0.946192884
156,ENSG00000074964,322.8213487,0.176776745,0.182490336,0.968690995,0.332699387,0.883820304
157,ENSG00000159423,11.67990557,-0.503402265,0.437836484,-1.149749467,0.250247074,0.858589021
158,ENSG00000169991,179.508239,-0.235035984,0.193275493,-1.216067181,0.223959331,0.848960646
159,ENSG00000127481,2295.403173,-0.126186563,0.073759961,-1.710773185,0.087122991,0.783461598
160,ENSG00000127463,276.85886,-0.233144776,0.102921189,-2.265274799,0.023495822,0.656315888
161,ENSG00000053372,55.26620109,-0.173478898,0.211356557,-0.82078787,0.411767109,0.901152571
162,ENSG00000053371,111.8597951,-0.079099916,0.158685168,-0.49847076,0.618152273,0.943118337
163,ENSG00000040487,94.60610959,0.058708938,0.165774386,0.354149635,0.723226746,0.959805095
164,ENSG00000077549,2015.324854,0.04760419,0.0822059,0.579084836,0.562531932,0.929803702
165,ENSG00000173436,69.97408996,-0.024491207,0.160523374,-0.152570969,0.87873662,0.984777141
166,ENSG00000158747,6.693899225,-0.771246081,0.669487933,-1.151993998,0.24932354,0.858205241
167,ENSG00000158748,15.15179615,-0.568217466,0.461687535,-1.230740324,0.218420001,0.847347694
168,ENSG00000162542,187.108883,-0.024880919,0.139802764,-0.177971579,0.858745296,0.982743646
169,ENSG00000169914,108.0668381,-0.096035197,0.17892494,-0.536734547,0.591450989,0.93758622
170,ENSG00000162543,20.74889478,-0.108807398,0.383682086,-0.283587382,0.776726608,0.966697494
171,ENSG00000158816,16.32332591,-0.422690542,0.450440122,-0.93839452,0.348041701,0.886540637
172,ENSG00000162545,7.56814775,-1.249512514,0.496114416,-2.518597471,0.011782327,0.620339221
173,ENSG00000090432,172.5755354,-0.047184308,0.118209718,-0.399157603,0.689777081,0.95568867
174,ENSG00000158825,511.3181104,0.308840821,0.229120875,1.347938381,0.177678202,0.836974018
175,ENSG00000158828,406.1784757,0.012549178,0.215289874,0.058289682,0.953517886,0.993509452
176,ENSG00000244038,497.3727286,0.043923891,0.082482712,0.532522386,0.594364241,0.938281136
177,ENSG00000127483,1104.158659,-0.0235609,0.072627923,-0.324405533,0.745631031,0.960908841
178,ENSG00000075151,577.35612,0.166764864,0.123150291,1.354157291,0.175686202,0.836002541
179,ENSG00000117298,2348.212898,0.055678773,0.144347168,0.385728201,0.699697975,0.957342674
180,ENSG00000142794,68.07211234,-0.217182134,0.253443826,-0.856924147,0.391486807,0.898582858
181,ENSG00000162551,1989.42822,0.039134233,0.292797325,0.133656388,0.893674293,0.986829435
182,ENSG00000076864,269.694715,0.988069375,0.614119082,1.608921468,0.107633515,0.797162813
183,ENSG00000090686,660.7893565,0.058810822,0.072623473,0.809804592,0.418052493,0.902156605
184,ENSG00000142798,40.81745737,-0.736172815,0.361121702,-2.038572621,0.0414927,0.718175155
185,ENSG00000070831,1960.947524,0.139807209,0.091618769,1.525966897,0.127018109,0.805178867
186,ENSG00000162552,124.8988045,-0.164688667,0.141793593,-1.16146762,0.245451784,0.858205241
187,ENSG00000184677,446.0161511,-0.119434045,0.124409488,-0.960007528,0.337051426,0.883820304
188,ENSG00000173372,21.8184442,0.561534035,0.452483038,1.241005714,0.214603638,0.847347694
189,ENSG00000159189,8.603650164,2.256983003,0.653271828,3.454891067,0.000550515,0.330338716
190,ENSG00000173369,10.74952914,1.028625617,0.55576267,1.850836107,0.064193135,0.748068923
191,ENSG00000133216,35.18768133,0.259360042,0.401291549,0.646313241,0.518076514,0.922359622
192,ENSG00000004487,246.6566634,-0.353198661,0.120687006,-2.926567424,0.003427252,0.577234078
193,ENSG00000169641,186.069614,-0.073204787,0.148061363,-0.494421946,0.621008218,0.94329912
194,ENSG00000125944,551.4815841,0.082567981,0.092063333,0.896860658,0.369793276,0.894441843
195,ENSG00000125945,65.33716361,-0.054603817,0.165487793,-0.329956768,0.741432629,0.960908841
196,ENSG00000204219,52.14688815,0.335470546,0.324168861,1.034863572,0.300732629,0.874503964
197,ENSG00000088280,10.21774399,-0.373369896,0.539182614,-0.692473915,0.488639762,0.916228371
198,ENSG00000007968,1001.318636,0.658310984,0.366387494,1.796761612,0.072373473,0.758263742
199,ENSG00000117318,70.80100681,-0.166118524,0.226316555,-0.734009601,0.462942887,0.914104827
200,ENSG00000142676,549.1371225,0.21314766,0.220486321,0.966716028,0.333686012,0.883820304
201,ENSG00000011007,217.1968936,0.082024806,0.119178175,0.688253586,0.491293104,0.916816656
202,ENSG00000057757,1059.14788,0.435908272,0.36388486,1.197929125,0.23094461,0.852012614
