© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHcirrhosis-vs-healthy
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIHcirrhosis-vs-healthy
Date	Tue Jan 29 21:37:22 PST 2019
Analysis ID	17364206

Experimental Metadata
projectname	AIH
organism	Human
case.tissue	Peripheral blood

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHcirrhosis-vs-healthy
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
4-1BB Signaling in T Lymphocytes	-0E00	NaN	3.12E-02	NFKBIA,	
ATM Signaling	-0E00	NaN	5.15E-02	PPP2R5B,CREB5,MDC1,GADD45A,NFKBIA	
Acetone Degradation I (to Methylglyoxal)	-0E00	NaN	3.33E-02	CYP1B1,	
Actin Nucleation by ARP-WASP Complex	-0E00	NaN	3.23E-02	RALB,GNA12	
Adipogenesis pathway	-0E00	NaN	4.48E-02	KAT2B,CEBPD,SAP30,MNAT1,KLF5,FZD5	
Agrin Interactions at Neuromuscular Junction	-0E00	NaN	2.67E-02	RALB,LAMC1	
Allograft Rejection Signaling	-0E00	NaN	3.49E-02	CD28,FCER1G,B2M	
Amyloid Processing	-0E00	NaN	1.96E-02	AKT3,	
Antigen Presentation Pathway	-0E00	NaN	2.63E-02	B2M,	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	NaN	3.45E-02	RALB,PIK3C2B,IRS1	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	NaN	3.85E-02	CDC34,	
Apelin Adipocyte Signaling Pathway	-0E00	NaN	2.50E-02	PRDX6,GNAI1	
