© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_Random_Forest->randomforest_2247genes_seed6_stdev0.5 - 2019-03-12 05:27 PM
Workspace	My Projects
Project	AIH_Random_Forest
Analysis	randomforest_2247genes_seed6_stdev0.5 - 2019-03-12 05:27 PM
Date	Tue Mar 12 17:27:50 PDT 2019
Analysis ID	17546327

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_Random_Forest->randomforest_2247genes_seed6_stdev0.5 - 2019-03-12 05:27 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
4-1BB Signaling in T Lymphocytes	-0E00	NaN	9.38E-02	JUN,IKBKB,TRAF1	
Acetone Degradation I (to Methylglyoxal)	-0E00	NaN	6.67E-02	CYP1B1,CYP2A6 (includes others)	
Acute Phase Response Signaling	-0E00	NaN	9.66E-02	JUN,AKT3,RRAS2,HNRNPK,IKBKB,PIK3R1,A2M,RALB,SOCS7,IL1RN,PIK3CA,PTPN11,SERPINA1,VWF,RAP2B,RRAS,SERPING1	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	5.21E-02	MYL6,IL1RN,ACTG1,XCL2,ITGA6,CLDN12,AOC3,JAM3,CCL4,PPBP	
Androgen Biosynthesis	-0E00	NaN	7.14E-02	SRD5A1,	
Antioxidant Action of Vitamin C	-0E00	NaN	8.26E-02	PLCB1,PLA2G10,SLC2A8,PLCH2,IKBKB,PLCG1,PLD4,ABHD3,PLBD1	
Apelin Liver Signaling Pathway	-0E00	NaN	7.69E-02	PDGFRB,COL5A3	
Atherosclerosis Signaling	-0E00	NaN	7.81E-02	CCR2,IL1RN,CD40LG,PLA2G10,SERPINA1,COL5A3,ABHD3,PLBD1,ALOX5,PDGFC	
B Cell Development	-0E00	NaN	8.33E-02	HLA-DOA,HLA-DRB5,CD86	
Bupropion Degradation	-0E00	NaN	8.00E-02	CYP1B1,CYP2A6 (includes others)	
Cardiomyocyte Differentiation via BMP Receptors	-0E00	NaN	5.00E-02	BMPR1A,	
Cdc42 Signaling	-0E00	NaN	8.98E-02	JUN,CDC42BPA,CDC42,HLA-DQA2,HLA-DOA,PPP1R12A,HLA-F,CFL2,MPRIP,VAV2,MYL6,CFL1,HLA-DRB5,MYLK,HLA-C	
