	modLLIDs	row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
110	ENSG00000142583	ENSG00000142583	26.60770541	0.611151944	0.358516752	1.704667746	0.088256409	0.218292097
356	ENSG00000198830	ENSG00000198830	910.9603315	0.139934164	0.07090827	1.973453359	0.048443933	0.147122213
726	ENSG00000184292	ENSG00000184292	21.52682783	1.008498089	0.538768359	1.87185842	0.061226193	0.171743052
758	ENSG00000152760	ENSG00000152760	3.782378971	0.09261703	0.787516243	0.117606501	0.906379454	NA
880	ENSG00000023909	ENSG00000023909	129.5562151	-0.071704188	0.099092189	-0.723610904	0.469304645	0.644431596
1008	ENSG00000188761	ENSG00000188761	12.83970787	-0.189219131	0.37782107	-0.500816779	0.616500076	NA
1119	ENSG00000184270	ENSG00000184270	33.52292274	0.207171862	0.188192314	1.100851879	0.270961128	0.454410703
1689	ENSG00000133063	ENSG00000133063	58.71169702	0.877611179	0.267938385	3.275421622	0.001055044	0.013973817
2051	ENSG00000171848	ENSG00000171848	22.93534322	0.50015743	0.271202101	1.844224023	0.065150499	0.178533628
3286	ENSG00000134086	ENSG00000134086	573.1431484	-0.039686376	0.047869215	-0.829058418	0.407071352	0.588409051
3397	ENSG00000144668	ENSG00000144668	19.24190421	0.661022762	0.316785361	2.086658171	0.036919045	0.123864238
3488	ENSG00000012223	ENSG00000012223	566.1813417	1.631365251	0.440089494	3.706894331	0.000209816	0.005817458
3512	ENSG00000164047	ENSG00000164047	70.30744082	1.121911478	0.35321186	3.176313158	0.001491598	0.016829174
3534	ENSG00000221883	ENSG00000221883	17.20191413	-0.197050284	0.236485693	-0.833243997	0.404707134	NA
3990	ENSG00000066405	ENSG00000066405	3.574030091	0.318728832	0.660063307	0.482876155	0.629183674	NA
4027	ENSG00000163710	ENSG00000163710	2.629066814	-0.265584182	0.890998575	-0.298074755	0.765646109	NA
4092	ENSG00000163661	ENSG00000163661	8.374383371	0.616256966	0.472916231	1.303099629	0.19254075	NA
4384	ENSG00000170801	ENSG00000170801	8.400784465	1.061010964	0.595389762	1.782044355	0.074741999	NA
5185	ENSG00000170571	ENSG00000170571	968.6932452	0.06182223	0.088586093	0.697877381	0.485253881	0.656914397
6034	ENSG00000276410	ENSG00000276410	17.24350748	0.147417528	0.294251407	0.500991753	0.616376927	NA
6079	ENSG00000185130	ENSG00000185130	37.98753014	0.591539567	0.200818143	2.945648029	0.003222789	0.026756432
6472	ENSG00000096006	ENSG00000096006	16.01136258	0.765784754	0.492621896	1.554508152	0.120063254	NA
6643	ENSG00000272398	ENSG00000272398	148.6655526	0.757910788	0.277009787	2.736043355	0.006218283	0.039386928
6782	ENSG00000118513	ENSG00000118513	45.03416161	0.172144043	0.190135828	0.905374044	0.365267262	0.550523324
7159	ENSG00000122641	ENSG00000122641	8.029361495	0.982491879	0.62025356	1.584016509	0.113189962	NA
